"","state","total_population","votingAgeCap","total_votes_2012","total_votes_2016","White","Black","Hispanic","Nonwhite","Foreign_born","Female_count","age29andunder_count","age65andolder_count","clf_unemploy_count","lesshs_count","lesscollege_count","lesshs_whites_count","lesscollege_whites_count","rural_count","median_hh_inc","Party_12","Party_16","Party_Name","Vote_Count","Year"
"56","Georgia",10099320,7063795,3900050,4114711,5466239,3105273,926990.000000001,4633081,994628.999999999,5176849,4203884,1246295,868655.332150925,1427487.68074776,7127878.6811262,1000641.68096154,6487150.66856119,2449400.71479961,38827,"#DC143C","#DC143C","DEM",1773827,2012
"57","Georgia",10099320,7063795,3900050,4114711,5466239,3105273,926990.000000001,4633081,994628.999999999,5176849,4203884,1246295,868655.332150925,1427487.68074776,7127878.6811262,1000641.68096154,6487150.66856119,2449400.71479961,38827,"#DC143C","#DC143C","OTH",47535,2012
"58","Georgia",10099320,7063795,3900050,4114711,5466239,3105273,926990.000000001,4633081,994628.999999999,5176849,4203884,1246295,868655.332150925,1427487.68074776,7127878.6811262,1000641.68096154,6487150.66856119,2449400.71479961,38827,"#DC143C","#DC143C","REP",2089104,2016
"59","Georgia",10099320,7063795,3900050,4114711,5466239,3105273,926990.000000001,4633081,994628.999999999,5176849,4203884,1246295,868655.332150925,1427487.68074776,7127878.6811262,1000641.68096154,6487150.66856119,2449400.71479961,38827,"#DC143C","#DC143C","DEM",1877963,2016
"60","Georgia",10099320,7063795,3900050,4114711,5466239,3105273,926990.000000001,4633081,994628.999999999,5176849,4203884,1246295,868655.332150925,1427487.68074776,7127878.6811262,1000641.68096154,6487150.66856119,2449400.71479961,38827,"#DC143C","#DC143C","OTH",147644,2016
"61","Hawaii",1413582,1006640,434221,428937,316256,23768,141824,1097326,253540,703756,544370,227592.999999999,78079.6497803747,123468.024731093,969647.53415284,44441.322363959,769456.617598345,114823.12104498,68500.5,"#00008B","#00008B","REP",120937,2012
"62","Hawaii",1413582,1006640,434221,428937,316256,23768,141824,1097326,253540,703756,544370,227592.999999999,78079.6497803747,123468.024731093,969647.53415284,44441.322363959,769456.617598345,114823.12104498,68500.5,"#00008B","#00008B","DEM",306266,2012
"63","Hawaii",1413582,1006640,434221,428937,316256,23768,141824,1097326,253540,703756,544370,227592.999999999,78079.6497803747,123468.024731093,969647.53415284,44441.322363959,769456.617598345,114823.12104498,68500.5,"#00008B","#00008B","OTH",7018,2012
"64","Hawaii",1413582,1006640,434221,428937,316256,23768,141824,1097326,253540,703756,544370,227592.999999999,78079.6497803747,123468.024731093,969647.53415284,44441.322363959,769456.617598345,114823.12104498,68500.5,"#00008B","#00008B","REP",128847,2016
"65","Hawaii",1413582,1006640,434221,428937,316256,23768,141824,1097326,253540,703756,544370,227592.999999999,78079.6497803747,123468.024731093,969647.53415284,44441.322363959,769456.617598345,114823.12104498,68500.5,"#00008B","#00008B","DEM",266891,2016
"66","Hawaii",1413582,1006640,434221,428937,316256,23768,141824,1097326,253540,703756,544370,227592.999999999,78079.6497803747,123468.024731093,969647.53415284,44441.322363959,769456.617598345,114823.12104498,68500.5,"#00008B","#00008B","OTH",33199,2016
"67","Idaho",1635483,1148900,652274,690433,1355896,9818,195589,279587,97736,815638,694851,233346,102095.062876358,165265.171597027,1205708.23726397,112956.147110859,1179813.21075692,470230.735215731,44473.5,"#DC143C","#DC143C","REP",420911,2012
"68","Idaho",1635483,1148900,652274,690433,1355896,9818,195589,279587,97736,815638,694851,233346,102095.062876358,165265.171597027,1205708.23726397,112956.147110859,1179813.21075692,470230.735215731,44473.5,"#DC143C","#DC143C","DEM",212787,2012
"69","Idaho",1635483,1148900,652274,690433,1355896,9818,195589,279587,97736,815638,694851,233346,102095.062876358,165265.171597027,1205708.23726397,112956.147110859,1179813.21075692,470230.735215731,44473.5,"#DC143C","#DC143C","OTH",18576,2012
"70","Idaho",1635483,1148900,652274,690433,1355896,9818,195589,279587,97736,815638,694851,233346,102095.062876358,165265.171597027,1205708.23726397,112956.147110859,1179813.21075692,470230.735215731,44473.5,"#DC143C","#DC143C","REP",409055,2016
"71","Idaho",1635483,1148900,652274,690433,1355896,9818,195589,279587,97736,815638,694851,233346,102095.062876358,165265.171597027,1205708.23726397,112956.147110859,1179813.21075692,470230.735215731,44473.5,"#DC143C","#DC143C","DEM",189765,2016
"72","Idaho",1635483,1148900,652274,690433,1355896,9818,195589,279587,97736,815638,694851,233346,102095.062876358,165265.171597027,1205708.23726397,112956.147110859,1179813.21075692,470230.735215731,44473.5,"#DC143C","#DC143C","OTH",91613,2016
"73","Illinois",12851684,9003485,5241891,5558707,7996856,1810559,2136474,4854828,1791568,6541224,5125405,1784097,1050507.43948093,1498982.67943657,8605849.23549035,799705.10717606,7766285.02532033,1456257.05186251,49025,"#00008B","#00008B","REP",2135102,2012
"74","Illinois",12851684,9003485,5241891,5558707,7996856,1810559,2136474,4854828,1791568,6541224,5125405,1784097,1050507.43948093,1498982.67943657,8605849.23549035,799705.10717606,7766285.02532033,1456257.05186251,49025,"#00008B","#00008B","DEM",3019512,2012
"75","Illinois",12851684,9003485,5241891,5558707,7996856,1810559,2136474,4854828,1791568,6541224,5125405,1784097,1050507.43948093,1498982.67943657,8605849.23549035,799705.10717606,7766285.02532033,1456257.05186251,49025,"#00008B","#00008B","OTH",87277,2012
"76","Illinois",12851684,9003485,5241891,5558707,7996856,1810559,2136474,4854828,1791568,6541224,5125405,1784097,1050507.43948093,1498982.67943657,8605849.23549035,799705.10717606,7766285.02532033,1456257.05186251,49025,"#00008B","#00008B","REP",2146015,2016
