"","state","Rep_12","Dem_12","Other_12","Rep_16","Dem_16","Other_16","total_population","votingAgeCap","total_votes_2012","total_votes_2016","Female_count","age29andunder_count","age65andolder_count","clf_unemploy_count","lesshs_count","lesscollege_count","lesshs_whites_count","lesscollege_whites_count","rural_count","median_hh_inc","Party_12","Party_16","Demographic","Dem_pop"
"36","District of Columbia",21381,267070,5313,12723,282830,15715,659009,494090,293764,311268,346380,274136,75166.0000000001,57560.1529913432,66200.231513379,294180.392376193,4071.63706171805,60551.0597321212,0,72935,"#00008B","#00008B","White",235722
"37","District of Columbia",21381,267070,5313,12723,282830,15715,659009,494090,293764,311268,346380,274136,75166.0000000001,57560.1529913432,66200.231513379,294180.392376193,4071.63706171805,60551.0597321212,0,72935,"#00008B","#00008B","Black",312557
"38","District of Columbia",21381,267070,5313,12723,282830,15715,659009,494090,293764,311268,346380,274136,75166.0000000001,57560.1529913432,66200.231513379,294180.392376193,4071.63706171805,60551.0597321212,0,72935,"#00008B","#00008B","Hispanic",69105.9999999998
"39","District of Columbia",21381,267070,5313,12723,282830,15715,659009,494090,293764,311268,346380,274136,75166.0000000001,57560.1529913432,66200.231513379,294180.392376193,4071.63706171805,60551.0597321212,0,72935,"#00008B","#00008B","Nonwhite",423287
"40","District of Columbia",21381,267070,5313,12723,282830,15715,659009,494090,293764,311268,346380,274136,75166.0000000001,57560.1529913432,66200.231513379,294180.392376193,4071.63706171805,60551.0597321212,0,72935,"#00008B","#00008B","Foreign_born",92513.0000000002
"41","Florida",4163447,4237756,72976,4617886,4504975,297178,19934451,14195900,8474179,9420039,10193189,7139944,3797625,1680342.70940995,2559931.91332296,14358988.9683771,1518291.64429956,13160757.0092191,1728783.16471688,44224,"#00008B","#DC143C","White",11080426
"42","Florida",4163447,4237756,72976,4617886,4504975,297178,19934451,14195900,8474179,9420039,10193189,7139944,3797625,1680342.70940995,2559931.91332296,14358988.9683771,1518291.64429956,13160757.0092191,1728783.16471688,44224,"#00008B","#DC143C","Black",3078918
"43","Florida",4163447,4237756,72976,4617886,4504975,297178,19934451,14195900,8474179,9420039,10193189,7139944,3797625,1680342.70940995,2559931.91332296,14358988.9683771,1518291.64429956,13160757.0092191,1728783.16471688,44224,"#00008B","#DC143C","Hispanic",4806854
"44","Florida",4163447,4237756,72976,4617886,4504975,297178,19934451,14195900,8474179,9420039,10193189,7139944,3797625,1680342.70940995,2559931.91332296,14358988.9683771,1518291.64429956,13160757.0092191,1728783.16471688,44224,"#00008B","#DC143C","Nonwhite",8854025
"45","Florida",4163447,4237756,72976,4617886,4504975,297178,19934451,14195900,8474179,9420039,10193189,7139944,3797625,1680342.70940995,2559931.91332296,14358988.9683771,1518291.64429956,13160757.0092191,1728783.16471688,44224,"#00008B","#DC143C","Foreign_born",3967671
"46","Georgia",2078688,1773827,47535,2089104,1877963,147644,10099320,7063795,3900050,4114711,5176849,4203884,1246295,868655.332150925,1427487.68074776,7127878.6811262,1000641.68096154,6487150.66856119,2449400.71479961,38827,"#DC143C","#DC143C","White",5466239
"47","Georgia",2078688,1773827,47535,2089104,1877963,147644,10099320,7063795,3900050,4114711,5176849,4203884,1246295,868655.332150925,1427487.68074776,7127878.6811262,1000641.68096154,6487150.66856119,2449400.71479961,38827,"#DC143C","#DC143C","Black",3105273
"48","Georgia",2078688,1773827,47535,2089104,1877963,147644,10099320,7063795,3900050,4114711,5176849,4203884,1246295,868655.332150925,1427487.68074776,7127878.6811262,1000641.68096154,6487150.66856119,2449400.71479961,38827,"#DC143C","#DC143C","Hispanic",926990.000000001
"49","Georgia",2078688,1773827,47535,2089104,1877963,147644,10099320,7063795,3900050,4114711,5176849,4203884,1246295,868655.332150925,1427487.68074776,7127878.6811262,1000641.68096154,6487150.66856119,2449400.71479961,38827,"#DC143C","#DC143C","Nonwhite",4633081
"50","Georgia",2078688,1773827,47535,2089104,1877963,147644,10099320,7063795,3900050,4114711,5176849,4203884,1246295,868655.332150925,1427487.68074776,7127878.6811262,1000641.68096154,6487150.66856119,2449400.71479961,38827,"#DC143C","#DC143C","Foreign_born",994628.999999999
"51","Hawaii",120937,306266,7018,128847,266891,33199,1413582,1006640,434221,428937,703756,544370,227592.999999999,78079.6497803747,123468.024731093,969647.53415284,44441.322363959,769456.617598345,114823.12104498,68500.5,"#00008B","#00008B","White",316256
"52","Hawaii",120937,306266,7018,128847,266891,33199,1413582,1006640,434221,428937,703756,544370,227592.999999999,78079.6497803747,123468.024731093,969647.53415284,44441.322363959,769456.617598345,114823.12104498,68500.5,"#00008B","#00008B","Black",23768
"53","Hawaii",120937,306266,7018,128847,266891,33199,1413582,1006640,434221,428937,703756,544370,227592.999999999,78079.6497803747,123468.024731093,969647.53415284,44441.322363959,769456.617598345,114823.12104498,68500.5,"#00008B","#00008B","Hispanic",141824
"54","Hawaii",120937,306266,7018,128847,266891,33199,1413582,1006640,434221,428937,703756,544370,227592.999999999,78079.6497803747,123468.024731093,969647.53415284,44441.322363959,769456.617598345,114823.12104498,68500.5,"#00008B","#00008B","Nonwhite",1097326
"55","Hawaii",120937,306266,7018,128847,266891,33199,1413582,1006640,434221,428937,703756,544370,227592.999999999,78079.6497803747,123468.024731093,969647.53415284,44441.322363959,769456.617598345,114823.12104498,68500.5,"#00008B","#00008B","Foreign_born",253540
"56","Idaho",420911,212787,18576,409055,189765,91613,1635483,1148900,652274,690433,815638,694851,233346,102095.062876358,165265.171597027,1205708.23726397,112956.147110859,1179813.21075692,470230.735215731,44473.5,"#DC143C","#DC143C","White",1355896
"57","Idaho",420911,212787,18576,409055,189765,91613,1635483,1148900,652274,690433,815638,694851,233346,102095.062876358,165265.171597027,1205708.23726397,112956.147110859,1179813.21075692,470230.735215731,44473.5,"#DC143C","#DC143C","Black",9818
"58","Idaho",420911,212787,18576,409055,189765,91613,1635483,1148900,652274,690433,815638,694851,233346,102095.062876358,165265.171597027,1205708.23726397,112956.147110859,1179813.21075692,470230.735215731,44473.5,"#DC143C","#DC143C","Hispanic",195589
"59","Idaho",420911,212787,18576,409055,189765,91613,1635483,1148900,652274,690433,815638,694851,233346,102095.062876358,165265.171597027,1205708.23726397,112956.147110859,1179813.21075692,470230.735215731,44473.5,"#DC143C","#DC143C","Nonwhite",279587
"60","Idaho",420911,212787,18576,409055,189765,91613,1635483,1148900,652274,690433,815638,694851,233346,102095.062876358,165265.171597027,1205708.23726397,112956.147110859,1179813.21075692,470230.735215731,44473.5,"#DC143C","#DC143C","Foreign_born",97736
"61","Illinois",2135102,3019512,87277,2146015,3090729,321963,12851684,9003485,5241891,5558707,6541224,5125405,1784097,1050507.43948093,1498982.67943657,8605849.23549035,799705.10717606,7766285.02532033,1456257.05186251,49025,"#00008B","#00008B","White",7996856
"62","Illinois",2135102,3019512,87277,2146015,3090729,321963,12851684,9003485,5241891,5558707,6541224,5125405,1784097,1050507.43948093,1498982.67943657,8605849.23549035,799705.10717606,7766285.02532033,1456257.05186251,49025,"#00008B","#00008B","Black",1810559
"63","Illinois",2135102,3019512,87277,2146015,3090729,321963,12851684,9003485,5241891,5558707,6541224,5125405,1784097,1050507.43948093,1498982.67943657,8605849.23549035,799705.10717606,7766285.02532033,1456257.05186251,49025,"#00008B","#00008B","Hispanic",2136474
"64","Illinois",2135102,3019512,87277,2146015,3090729,321963,12851684,9003485,5241891,5558707,6541224,5125405,1784097,1050507.43948093,1498982.67943657,8605849.23549035,799705.10717606,7766285.02532033,1456257.05186251,49025,"#00008B","#00008B","Nonwhite",4854828
"65","Illinois",2135102,3019512,87277,2146015,3090729,321963,12851684,9003485,5241891,5558707,6541224,5125405,1784097,1050507.43948093,1498982.67943657,8605849.23549035,799705.10717606,7766285.02532033,1456257.05186251,49025,"#00008B","#00008B","Foreign_born",1791568
"66","Indiana",1420543,1152887,51104,1557286,1033126,144546,6589578,4824565,2624534,2734958,3344256,2674213,940323,456771.28464286,785779.262611938,4952185.23923169,665214.860404732,4857359.56722843,1792704.84190357,48120.5,"#DC143C","#DC143C","White",5284680
"67","Indiana",1420543,1152887,51104,1557286,1033126,144546,6589578,4824565,2624534,2734958,3344256,2674213,940323,456771.28464286,785779.262611938,4952185.23923169,665214.860404732,4857359.56722843,1792704.84190357,48120.5,"#DC143C","#DC143C","Black",599629
"68","Indiana",1420543,1152887,51104,1557286,1033126,144546,6589578,4824565,2624534,2734958,3344256,2674213,940323,456771.28464286,785779.262611938,4952185.23923169,665214.860404732,4857359.56722843,1792704.84190357,48120.5,"#DC143C","#DC143C","Hispanic",429522
"69","Indiana",1420543,1152887,51104,1557286,1033126,144546,6589578,4824565,2624534,2734958,3344256,2674213,940323,456771.28464286,785779.262611938,4952185.23923169,665214.860404732,4857359.56722843,1792704.84190357,48120.5,"#DC143C","#DC143C","Nonwhite",1304898
"70","Indiana",1420543,1152887,51104,1557286,1033126,144546,6589578,4824565,2624534,2734958,3344256,2674213,940323,456771.28464286,785779.262611938,4952185.23923169,665214.860404732,4857359.56722843,1792704.84190357,48120.5,"#DC143C","#DC143C","Foreign_born",324368
"71","Iowa",730617,822544,29019,800983,653669,111379,3106589,2295045,1582180,1566031,1563601,1239835,490781,141151.591620943,255548.394926956,2248932.53010179,196205.376531795,2221966.49099873,1097421.19945891,49942,"#00008B","#DC143C","White",2701600
"72","Iowa",730617,822544,29019,800983,653669,111379,3106589,2295045,1582180,1566031,1563601,1239835,490781,141151.591620943,255548.394926956,2248932.53010179,196205.376531795,2221966.49099873,1097421.19945891,49942,"#00008B","#DC143C","Black",100660
"73","Iowa",730617,822544,29019,800983,653669,111379,3106589,2295045,1582180,1566031,1563601,1239835,490781,141151.591620943,255548.394926956,2248932.53010179,196205.376531795,2221966.49099873,1097421.19945891,49942,"#00008B","#DC143C","Hispanic",172707
"74","Iowa",730617,822544,29019,800983,653669,111379,3106589,2295045,1582180,1566031,1563601,1239835,490781,141151.591620943,255548.394926956,2248932.53010179,196205.376531795,2221966.49099873,1097421.19945891,49942,"#00008B","#DC143C","Nonwhite",404989
"75","Iowa",730617,822544,29019,800983,653669,111379,3106589,2295045,1582180,1566031,1563601,1239835,490781,141151.591620943,255548.394926956,2248932.53010179,196205.376531795,2221966.49099873,1097421.19945891,49942,"#00008B","#DC143C","Foreign_born",151167
"76","Kansas",689809,439908,26537,671018,427005,86380,2898292,2061765,1156254,1184403,1456380,1210799,415527,155293.535650947,283306.923230234,1979934.38967358,186209.842680815,1911605.27497282,731634.454279364,47532,"#DC143C","#DC143C","White",2227043
"77","Kansas",689809,439908,26537,671018,427005,86380,2898292,2061765,1156254,1184403,1456380,1210799,415527,155293.535650947,283306.923230234,1979934.38967358,186209.842680815,1911605.27497282,731634.454279364,47532,"#DC143C","#DC143C","Black",163121
"78","Kansas",689809,439908,26537,671018,427005,86380,2898292,2061765,1156254,1184403,1456380,1210799,415527,155293.535650947,283306.923230234,1979934.38967358,186209.842680815,1911605.27497282,731634.454279364,47532,"#DC143C","#DC143C","Hispanic",327739
"79","Kansas",689809,439908,26537,671018,427005,86380,2898292,2061765,1156254,1184403,1456380,1210799,415527,155293.535650947,283306.923230234,1979934.38967358,186209.842680815,1911605.27497282,731634.454279364,47532,"#DC143C","#DC143C","Nonwhite",671249
"80","Kansas",689809,439908,26537,671018,427005,86380,2898292,2061765,1156254,1184403,1456380,1210799,415527,155293.535650947,283306.923230234,1979934.38967358,186209.842680815,1911605.27497282,731634.454279364,47532,"#DC143C","#DC143C","Foreign_born",200769
"81","Kentucky",1087190,679370,30652,1202971,628854,92324,4411989,3313780,1797212,1924149,2239244,1725300,653000,343643.41177772,673757.113694697,3403194.228599,633313.121320486,3351296.62145498,1810825.38230422,39753,"#DC143C","#DC143C","White",3766346
"82","Kentucky",1087190,679370,30652,1202971,628854,92324,4411989,3313780,1797212,1924149,2239244,1725300,653000,343643.41177772,673757.113694697,3403194.228599,633313.121320486,3351296.62145498,1810825.38230422,39753,"#DC143C","#DC143C","Black",345715
"83","Kentucky",1087190,679370,30652,1202971,628854,92324,4411989,3313780,1797212,1924149,2239244,1725300,653000,343643.41177772,673757.113694697,3403194.228599,633313.121320486,3351296.62145498,1810825.38230422,39753,"#DC143C","#DC143C","Hispanic",146945
