"","state","trump16","clinton16","otherpres16","total_population","cvap","white_pct","black_pct","hispanic_pct","nonwhite_pct","foreignborn_pct","female_pct","age29andunder_pct","age65andolder_pct","clf_unemploy_pct","lesshs_pct","lesscollege_pct","lesshs_whites_pct","lesscollege_whites_pct","rural_pct","median_hh_inc","party"
"28","Nevada",512058,539260,74067,2839172,1902290,1455508,233440,790496.999999999,1383664,547695.999999999,1412850,1122459,400855,264878.070386498,414614.645661377,2180675.09468876,200006.309829323,2050387.3501641,159680.916751909,52629,"#00008B"
"29","New Hampshire",345790,348526,49980,1327503,1027635,1211271,15565,43500,116232,77063,670996,473811,210385,67288.5049298368,98681.3081840989,856088.453182291,91231.6875817076,856271.638964554,524720.292901279,59849.5,"#00008B"
"30","New Jersey",1601933,2148278,123835,8915456,6087275,5054611,1133918,1719831,3860845,1943338,4564925,3372688,1312291,702736.619950892,994084.300390156,5583166.11702508,610690.754183009,5117080.98742963,464505.188441765,72999,"#00008B"
"31","New Mexico",319667,385234,93418,2082669,1464245,805603,37318,995831,1277066,201343,1051229,848931,318286,178886.941354796,325356.675237658,1534188.23355348,119700.483407853,1267709.57017655,464476.213080501,36160,"#00008B"
"32","New York",2814589,4547562,345212,19697457,13605855,11111314,2829883,3661929,8586143,4442247,10142327,7659802,2893801,1492445.45867082,2788048.4794419,12909608.4052916,1559876.25936058,11204215.394196,2331185.68167168,51827,"#00008B"
"33","North Carolina",2362631,2189316,189617,9940828,7203800,6361438,2104597,884763,3579390,767656,5106236,3910938,1459330,839240.44860871,1351565.10897986,7038449.82947645,931702.983454644,6563783.44911521,3289930.11394632,41031,"#DC143C"
"34","North Dakota",216794,93758,33808,736162,555685,635834,14492,22997,100328,24364,359183,315055,104745,20732.9735196752,58110.030309149,526954.397433515,50597.4231324555,520460.756046156,290399.71878806,55900,"#DC143C"
"35","Ohio",2841005,2394164,261318,11586941,8734140,9265123,1402423,400932,2321818,484708,5913048,4488640,1796337,843790.574440392,1218019.00868899,8484490.38887314,1051320.13103968,8258521.84052764,2540299.95562181,48462,"#DC143C"
"36","Oklahoma",949136,420375,83481,3875589,2787660,2593871,276559,381467,1281718,225516,1955594,1609291,561885,234238.214068915,492232.076226472,2920856.12892709,376204.149296478,2816936.84756904,1285831.56083614,44331,"#DC143C"
"37","Oregon",782403,1002106,216827,3982267,2911325,3066467,70359,494806,915800,390613,2010755,1498397,634574,324945.267599631,400760.165727458,2729537.86104169,261641.385891959,2645961.97877859,744598.251383519,45393,"#00008B"
"38","Pennsylvania",2970733,2926441,218228,12783977,9725830,9934801,1353424,843163.999999999,2849176,818363,6528935,4779397,2133247,926908.955396929,1344566.07578947,9027648.68786834,1083691.98224255,8713412.38607116,2702028.00948053,49028,"#DC143C"
"39","Rhode Island",180490,251888,31038,1054491,780250,780278,57348,148375,274213,142663,543194,401936,166517,81659.1402856735,138613.157330823,713075.174118067,107924.439767837,687876.482312111,97448.1932334778,71347,"#00008B"
"40","South Carolina",1155389,855373,92265,4834605,3620835,3087207,1311344,258361,1747398,230716,2486267,1886258,761680,408989.152604469,673827.485621821,3553076.4455093,499153.240324023,3322013.86966697,1597010.45244015,40312.5,"#DC143C"
"41","South Dakota",227721,117458,24914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"#DC143C"
"42","Tennessee",1522925,870695,114407,6548009,4876600,4879669,1092491,327345,1668340,315319,3356032,2556614,984449,498232.911369076,910269.355044524,4872838.29575812,744479.662234717,4643117.40055012,2170751.46141634,39728,"#DC143C"
"43","Texas",4685047,3877868,406311,26956435,17177620,11705684,3134962,10413150,15250751,4494345,13577270,11840066,3096567,1748019.01762048,4813242.44794018,19400116.210329,1746820.17964163,16624416.2741885,4015158.20856125,46454.5,"#DC143C"
"44","Utah",515231,310676,305523,2948427,1903500,2339279,30243,397915,609147.999999999,244784,1465372,1457860,295342,149596.423090837,246321.520154249,2007522.2067688,137805.536573178,1930608.36079973,273974.472384909,52865,"#DC143C"
"45","Vermont",95369,178573,41135,626249,493535,585154,7050,10900,41095,27555,317538,224884,106193,31210.0074470424,50469.6885720127,397827.357438413,47244.0217372527,397011.837868906,381331.207320301,53789.5,"#00008B"
"46","Virginia",1769443,1981473,233715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"#00008B"
"47","Washington",1221747,1742718,244749,7073146,5008030,4978375,246909,854275,2094771,957185,3543715,2783030,992841.999999999,490993.378914147,677515.805884357,4718994.41430324,403455.609206737,4555488.37507683,1107902.02613602,50145,"#00008B"
"48","West Virginia",489371,188794,34886,1846092,1453210,1706156,62385,26247,139936,28908,933822,657591,328124,141758.373704369,268997.027534389,1480784.29712645,269178.907454747,1482913.12520497,941179.794967167,39381,"#DC143C"
"49","Wisconsin",1404440,1381823,189490,5754798,4313285,4727553,355387,371205,1027245,277238,2895743,2221833,875220,319903.23732184,497832.407330197,4112644.96010388,365012.746344339,3990383.30903566,1704051.37123417,51411.5,"#DC143C"
"50","Wyoming",174419,55973,25457,583029,432375,491859,6176,56386.0000000001,91170,20712,285338,236650,80707.0000000001,28797.39677706,44311.0697992047,430931.68498239,33348.1716727358,421454.866630075,203656.580744948,55640,"#DC143C"
